scaffold	prediction
TO_sample_contig_221675	organism
TO_sample_contig_619129	organism
TO_sample_contig_466540	organism
TO_sample_contig_921273	organism
TO_sample_contig_905840_fragment_1	organism
TO_sample_contig_804761	organism
TO_sample_contig_151821	organism
TO_sample_contig_265000	plasmid
TO_sample_contig_314987	organism
TO_sample_contig_170802	organism
TO_sample_contig_219656	organism
TO_sample_contig_892937	organism
TO_sample_contig_458955	organism
TO_sample_contig_54951	organism
TO_sample_contig_708072	organism
TO_sample_contig_231432	organism
TO_sample_contig_784857	organism
TO_sample_contig_740128	plasmid
TO_sample_contig_382788	organism
TO_sample_contig_136901	organism
TO_sample_contig_649906	organism
TO_sample_contig_843032	organism
TO_sample_contig_85624	virus
TO_sample_contig_923948	organism
TO_sample_contig_897422	plasmid
TO_sample_contig_645862	virus
TO_sample_contig_629770	organism
TO_sample_contig_852502	organism
TO_sample_contig_510573	organism
TO_sample_contig_922176	organism
TO_sample_contig_388872	virus
TO_sample_contig_174814	organism
TO_sample_contig_700857	organism
TO_sample_contig_188297	organism
TO_sample_contig_829465	organism
TO_sample_contig_848590	virus
TO_sample_contig_86934	organism
TO_sample_contig_419766	organism
TO_sample_contig_244830	organism
TO_sample_contig_739012	organism
TO_sample_contig_576442	virus
TO_sample_contig_371489	organism
TO_sample_contig_149885	organism
TO_sample_contig_36336	organism
TO_sample_contig_788723	organism
TO_sample_contig_901719	organism
TO_sample_contig_102370	organism
TO_sample_contig_353804	organism
TO_sample_contig_913829	organism
TO_sample_contig_377358	organism
TO_sample_contig_26762_fragment_1	organism
TO_sample_contig_911063	organism
TO_sample_contig_538966	organism
TO_sample_contig_787453	organism
TO_sample_contig_415086	organism
TO_sample_contig_437281	virus
TO_sample_contig_186376	virus
TO_sample_contig_795434	organism
TO_sample_contig_587984	organism
TO_sample_contig_16918	organism
TO_sample_contig_467066	organism
TO_sample_contig_412700	organism
TO_sample_contig_132238	organism
TO_sample_contig_635587	organism
TO_sample_contig_824914	organism
TO_sample_contig_153723	virus
TO_sample_contig_110525	organism
TO_sample_contig_68650	virus
TO_sample_contig_296361	virus
TO_sample_contig_852479	organism
TO_sample_contig_686	organism
TO_sample_contig_842140	organism
TO_sample_contig_73985	organism
TO_sample_contig_351010	organism
TO_sample_contig_359298	organism
TO_sample_contig_186364	organism
TO_sample_contig_685728	plasmid
TO_sample_contig_651252	organism
TO_sample_contig_23511	virus
TO_sample_contig_622474	organism
TO_sample_contig_271954	organism
TO_sample_contig_163414	organism
TO_sample_contig_43895	organism
TO_sample_contig_386518	organism
TO_sample_contig_898428	plasmid
TO_sample_contig_553046	organism
TO_sample_contig_835240	organism
TO_sample_contig_760901	organism
TO_sample_contig_253283	organism
TO_sample_contig_831442	virus
TO_sample_contig_488862	organism
TO_sample_contig_539994	virus
TO_sample_contig_636197	organism
TO_sample_contig_108616	organism
TO_sample_contig_837910	organism
TO_sample_contig_630877	organism
TO_sample_contig_75680	organism
TO_sample_contig_809487	organism
TO_sample_contig_608186	virus
TO_sample_contig_835882	organism
TO_sample_contig_281324	organism
TO_sample_contig_107257	virus
TO_sample_contig_493073	organism
TO_sample_contig_457659	organism
TO_sample_contig_820187	organism
TO_sample_contig_191917	organism
TO_sample_contig_786105	organism
TO_sample_contig_287368	organism
TO_sample_contig_319012	organism
TO_sample_contig_97812	organism
TO_sample_contig_89334	organism
TO_sample_contig_240089	organism
TO_sample_contig_827477	virus
TO_sample_contig_832300	organism
TO_sample_contig_867290	organism
TO_sample_contig_350911	virus
TO_sample_contig_899311	organism
TO_sample_contig_363423	organism
TO_sample_contig_680176	virus
TO_sample_contig_111496	organism
TO_sample_contig_170532	organism
TO_sample_contig_447891	plasmid
TO_sample_contig_313479	organism
TO_sample_contig_620978	organism
TO_sample_contig_745402	plasmid
TO_sample_contig_476082	organism
TO_sample_contig_363481	organism
TO_sample_contig_35183	organism
TO_sample_contig_697515	organism
TO_sample_contig_738490	organism
TO_sample_contig_556689	organism
TO_sample_contig_777040	organism
TO_sample_contig_164511	organism
TO_sample_contig_458139	organism
TO_sample_contig_490706	virus
TO_sample_contig_5080	organism
TO_sample_contig_199169	organism
TO_sample_contig_781417	organism
TO_sample_contig_819322	organism
TO_sample_contig_591401	organism
TO_sample_contig_642546	organism
TO_sample_contig_213166	organism
TO_sample_contig_178336	organism
TO_sample_contig_896821	organism
TO_sample_contig_13013	plasmid
TO_sample_contig_415267	organism
TO_sample_contig_151548	organism
TO_sample_contig_40725	organism
TO_sample_contig_834926	organism
TO_sample_contig_90309	organism
TO_sample_contig_270387	organism
TO_sample_contig_314407	organism
TO_sample_contig_293677	organism
TO_sample_contig_242795	organism
TO_sample_contig_525241	organism
TO_sample_contig_702284	organism
TO_sample_contig_843073	organism
TO_sample_contig_902802	organism
TO_sample_contig_899862	organism
TO_sample_contig_459986	organism
TO_sample_contig_802865	virus
TO_sample_contig_156123	organism
TO_sample_contig_99263	organism
TO_sample_contig_260823	organism
TO_sample_contig_806400	organism
TO_sample_contig_866397	organism
TO_sample_contig_853059	organism
TO_sample_contig_823701	organism
TO_sample_contig_785732	organism
TO_sample_contig_133484	organism
TO_sample_contig_526644	organism
TO_sample_contig_371065	virus
